NoOfEvals,MyRexJggKTabletP7K5_0,MyRexJggKTabletP7K5_1,MyRexJggKTabletP7K5_2
100,352073.06943215645,295306.87838365464,227063.64332277133
200,381479.32211843494,321379.02561382734,389378.4958653662
300,165302.47802065022,386993.187264323,389378.4958653662
400,165302.47802065022,312855.0935895738,264850.6722322008
500,157502.7152674969,312855.0935895738,231196.14533197068
600,157502.7152674969,312855.0935895738,231196.14533197068
700,157502.7152674969,312855.0935895738,231196.14533197068
800,161576.41166463774,238049.48176841094,162479.04707940202
900,145778.0817282528,238049.48176841094,162479.04707940202
1000,145778.0817282528,98541.12493657906,162479.04707940202
1100,145778.0817282528,98541.12493657906,149794.2352531324
1200,145778.0817282528,135059.70063675768,149794.2352531324
1300,87619.26379847471,97409.12544156765,122622.72540090758
1400,58017.57268362245,81976.38139074248,119620.45144054867
1500,58017.57268362245,89637.38276692554,117917.32162337273
1600,58017.57268362245,72729.78429983622,122622.72540090758
1700,58017.57268362245,72729.78429983622,97294.50455738964
1800,71556.1420019363,72729.78429983622,61458.93777396892
1900,59827.78638097841,66839.36408961628,61458.93777396892
2000,58605.03054191484,61270.30997791737,61458.93777396892
2100,55101.04533073655,61270.30997791737,61458.93777396892
2200,56619.13856416271,26204.435018923934,43080.33604800276
2300,56619.13856416271,26204.435018923934,43080.33604800276
2400,49914.1435371563,26204.435018923934,38911.83016888724
2500,45678.3963235004,26204.435018923934,39933.422816236634
2600,41732.6508195034,17779.075931821833,24572.065317996705
2700,41732.6508195034,26204.435018923934,24572.065317996705
2800,34282.98263126322,26204.435018923934,24572.065317996705
2900,34282.98263126322,30507.499037825928,24572.065317996705
3000,22114.230094276827,23871.946726544295,24572.065317996705
3100,18727.043783428995,21695.93090508754,24572.065317996705
3200,18727.043783428995,19134.37372556745,24572.065317996705
3300,18727.043783428995,14048.133548157448,18285.45756552249
3400,11842.719306676994,15372.410084070643,18018.13990983565
3500,11842.719306676994,15372.410084070643,18285.45756552249
3600,11842.719306676994,13285.971587118216,18285.45756552249
3700,13717.662339113715,13243.274829466436,17745.17309339668
3800,13717.662339113715,13243.274829466436,18585.10953983177
3900,9780.779553981287,7678.646391977053,13351.549966422688
4000,9780.779553981287,7678.646391977053,10301.486254377622
4100,10058.79927718266,7678.646391977053,6310.750547466526
4200,6440.507774593238,7678.646391977053,6310.750547466526
4300,6440.507774593238,7454.198024361796,8507.936755434894
4400,6440.507774593238,7454.198024361796,8507.936755434894
4500,6440.507774593238,5051.010004498163,5706.901378273199
4600,4019.891875553666,6087.555748731846,5706.901378273199
4700,4019.891875553666,6087.555748731846,5747.432109360327
4800,4019.891875553666,6087.555748731846,5166.051454519722
4900,4019.891875553666,4925.105630046997,5166.051454519722
5000,4357.845377719733,4925.105630046997,4579.558729477599
5100,4466.110641084173,3356.384576880293,3771.1459488560054
5200,2574.5141153828176,3356.384576880293,3771.1459488560054
5300,2071.733329545859,3356.384576880293,2897.61940151535
5400,2820.718807067158,3152.891102690482,2897.61940151535
5500,1900.2655526351891,2332.0887030239355,2695.098225745244
5600,1900.2655526351891,2830.1725749218817,2695.098225745244
5700,2487.5294452294474,3152.891102690482,2897.61940151535
5800,2487.5294452294474,1674.3451601960653,2487.030994439417
5900,2185.91698711889,1674.3451601960653,2897.61940151535
6000,1837.511741527623,1674.3451601960653,1909.3727385433606
6100,1160.7221590011332,1674.3451601960653,1952.2948611385652
6200,1383.4054087025563,1248.1580349798244,1952.2948611385652
6300,1354.318207094313,1151.0430667573078,1042.7822950144575
6400,1354.318207094313,1151.0430667573078,1042.7822950144575
6500,866.6623934682125,1151.0430667573078,1042.7822950144575
6600,805.6638926636435,1151.0430667573078,1042.7822950144575
6700,805.6638926636435,1151.0430667573078,1042.7822950144575
6800,805.6638926636435,785.8779719480717,980.4068331809281
6900,403.9690813941277,1151.0430667573078,980.4068331809281
7000,403.9690813941277,1209.4624625326655,980.4068331809281
7100,403.9690813941277,1128.4919368379622,980.4068331809281
7200,695.8546745361051,1066.4688493756403,1141.4143235523063
7300,416.8596659227103,925.397275208301,839.983317441864
7400,396.6629332079794,762.5829454891598,786.2893660466045
7500,396.6629332079794,762.5829454891598,930.3527612229963
7600,396.6629332079794,762.5829454891598,833.7916065035514
7700,385.746038350675,762.5829454891598,793.8833087174193
7800,390.4216430648878,614.2342829415782,707.5745405791805
7900,408.83440774134266,614.2342829415782,753.4531286180958
8000,321.0540675648425,564.5383181510949,650.7586506151385
8100,269.66950650182065,564.5383181510949,650.7586506151385
8200,321.0540675648425,564.5383181510949,617.7720077173335
8300,312.06260734016416,575.0945339548232,617.7720077173335
8400,249.62108792836005,548.8514321525809,565.0862788207718
8500,249.62108792836005,441.8307571779147,565.0862788207718
8600,215.136100977074,480.1817016230374,607.9664424235227
8700,215.136100977074,316.0208128110896,511.4055254388471
8800,215.136100977074,316.0208128110896,542.9245078493047
8900,215.136100977074,311.6145378197693,385.3758391451805
9000,184.1619717189832,348.12921930042836,470.16459321344587
9100,194.1728498536948,300.59486564268843,400.92386640314464
9200,138.97519438522767,300.59486564268843,400.92386640314464
9300,176.5061574370847,289.86374198724644,342.1903637677947
9400,186.67887250534037,260.5945117436583,342.1903637677947
9500,145.17030398493716,244.63928568834214,400.92386640314464
9600,111.9267111932532,243.72222068240563,400.92386640314464
9700,111.9267111932532,243.72222068240563,358.9350092833326
9800,111.9267111932532,229.41755349921792,340.52177924249
9900,106.65073969262484,206.20789392713493,354.6548566112168
10000,106.65073969262484,206.20789392713493,349.15876394977226
10100,69.04065669142611,165.07080859320627,283.6740986716654
10200,69.04065669142611,165.07080859320627,283.6740986716654
10300,69.04065669142611,162.5215277960773,283.6740986716654
10400,69.04065669142611,162.5215277960773,283.6740986716654
10500,64.1289935312439,162.5215277960773,297.1922485133355
10600,64.1289935312439,165.07080859320627,288.5276678376024
10700,64.1289935312439,165.07080859320627,254.08561821576728
10800,64.1289935312439,149.5350702819998,254.08561821576728
10900,49.882765013661405,149.5350702819998,259.8174684775997
11000,50.774509297781094,146.78332654953422,259.8174684775997
11100,63.223452497320075,146.49397331655442,227.99038156440878
11200,63.223452497320075,127.64170432225599,227.99038156440878
11300,36.42073081417013,127.64170432225599,224.95970269564168
11400,48.264724788753185,127.64170432225599,224.95970269564168
11500,60.087937016717966,127.64170432225599,243.13962908266356
11600,52.115571818736434,127.64170432225599,229.4321267812907
11700,56.26134200407501,127.64170432225599,229.4321267812907
11800,54.84221906558806,127.64170432225599,217.38683298337097
11900,56.15004878072386,114.85366008356412,217.38683298337097
12000,46.70477445012616,113.19125993795996,216.52601031995243
12100,47.92964259343736,113.19125993795996,216.52601031995243
12200,47.92964259343736,107.57377407570095,226.92749070467497
12300,47.968372073493924,103.23577158915667,226.92749070467497
12400,44.230669449321546,103.23577158915667,219.3846629005233
12500,42.07226216742496,101.54489880018174,205.96009231409224
12600,42.07226216742496,103.21045274795249,205.96009231409224
12700,42.07226216742496,99.8649019967206,216.4496788370895
12800,37.83159368067015,99.49495768917382,214.03168130227465
12900,37.83159368067015,99.49495768917382,214.03168130227465
13000,40.8960823122078,96.82384485315896,211.19239333046045
13100,38.38217292510212,96.82384485315896,211.19239333046045
13200,38.38217292510212,94.04459448349874,211.19239333046045
13300,37.521923651416635,91.04176006470352,211.19239333046045
13400,37.521923651416635,81.99453905089263,211.19239333046045
13500,37.521923651416635,81.99453905089263,211.59487866941197
13600,37.521923651416635,81.99453905089263,211.59487866941197
13700,37.521923651416635,88.59009965759682,207.90654222613514
13800,37.470715906747714,88.59009965759682,205.27035054978234
13900,36.333093365178414,87.52987446832611,205.27035054978234
14000,34.695942334228555,84.87368448879064,209.72383005489596
14100,34.695942334228555,84.87368448879064,208.9761809633209
14200,34.695942334228555,84.87368448879064,208.9761809633209
14300,34.695942334228555,84.28421609537692,207.94769483943415
14400,34.695942334228555,84.28421609537692,207.94769483943415
14500,34.695942334228555,79.92964751881415,207.94769483943415
14600,34.11839815107751,82.98319283085674,206.42422203637378
14700,34.11839815107751,80.99749365607731,205.41612942821823
14800,34.11839815107751,80.99749365607731,205.41612942821823
14900,34.11839815107751,80.99749365607731,205.41612942821823
15000,34.11839815107751,79.79632781459915,205.41612942821823
15100,33.61756359962689,79.79632781459915,205.53084273290128
15200,34.11839815107751,80.7488101311338,204.39175349877982
15300,32.99727537702148,80.28941950965975,203.68271892912804
15400,32.99727537702148,80.12648353653245,202.52781314035272
15500,33.494915650688434,78.54435545599192,202.52781314035272
15600,33.37181732261881,77.66714056758727,202.52781314035272
15700,32.67613731410857,76.5787123125848,202.86167423941336
15800,32.67613731410857,76.5787123125848,202.86167423941336
15900,33.126162965497066,76.5787123125848,203.68271892912804
16000,32.789848449856436,76.5787123125848,203.68271892912804
16100,32.789848449856436,77.45521722043202,203.40937987443363
16200,32.789848449856436,76.61832688210275,203.46634951429667
16300,32.66465466216486,76.65875335716268,203.46634951429667
16400,32.66465466216486,76.04208572769657,202.5820457739817
16500,32.32989406927684,76.04208572769657,202.9316861219887
16600,32.32989406927684,75.90725971597222,203.28317139663804
16700,32.32989406927684,76.14660092466006,203.30621267820547
16800,32.47236971279677,76.32291012501074,203.30621267820547
16900,32.47236971279677,75.53885999352669,203.30621267820547
17000,32.48386817673391,75.9775294490501,201.92768299635543
17100,32.1626129424239,75.22514859362691,201.8193601801879
17200,32.1626129424239,75.22514859362691,201.8193601801879
17300,31.829595272161786,75.22514859362691,201.8193601801879
17400,32.005315964320886,75.48367811952139,201.8193601801879
17500,32.005315964320886,75.1810399764881,201.8193601801879
17600,32.005315964320886,75.1810399764881,201.69757640329772
17700,32.005315964320886,75.04146673059878,201.69757640329772
17800,32.10236714095926,75.04146673059878,202.247359896095
17900,31.889267790681018,75.54284080802236,202.45684363601404
18000,31.889267790681018,75.39120361114722,202.52512726626443
18100,31.889267790681018,75.39120361114722,202.19084101431216
18200,31.889267790681018,75.34066461959033,202.19084101431216
18300,31.889267790681018,75.33674013001767,202.03256454967556
18400,31.889267790681018,75.33674013001767,202.03256454967556
18500,31.96576776880947,75.17731155638904,201.78410769377018
18600,31.8629708868064,75.17731155638904,201.9365641084487
18700,31.80869345746138,75.17731155638904,201.7023370006052
18800,31.80869345746138,75.17731155638904,201.69869139882465
18900,31.7725059326234,75.17731155638904,201.69869139882465
19000,31.769848171371212,75.31404823832393,201.69869139882465
19100,31.769848171371212,75.2696928373844,201.69869139882465
19200,31.736808398762225,75.2696928373844,201.69869139882465
19300,31.67517969630884,75.08990625179104,201.69869139882465
19400,31.67517969630884,75.1740838648792,201.69869139882465
19500,31.727397329242166,75.12946729944818,201.69869139882465
19600,31.64432523420863,75.25029896517626,201.69869139882465
19700,31.653449570879754,75.22696321730669,201.69869139882465
19800,31.639382507395315,75.22696321730669,201.69869139882465
19900,31.64305612026053,75.24203025766084,201.69869139882465
20000,31.641870936717623,75.1524519849431,201.6742093938268
20100,31.59175292894886,75.22371706376934,201.6742093938268
20200,31.601675458031,75.2188404408652,201.6742093938268
20300,31.601519698466937,75.15235429702386,201.6742093938268
20400,31.601519698466937,75.15443803027432,201.6742093938268
